ISO3,Roman,Country_Code,Map_Color_Code,STS_Code,UN_Link,M49_Description,M49_Code,x,y
ABW,Aruba,AME,NLD,3,1,Aruba,533,-69.97050586,12.50878756
AFG,Afghanistan,ASI,AFG,1,2,Afghanistan,4,66.02688198,33.83160199
AGO,Angola,AFR,AGO,1,3,Angola,24,17.57817062,-12.33724747
AIA,Anguilla,AME,AIA,5,4,Anguilla,660,-63.05651612,18.21525315
ALA,Åland Islands,EUR,FIN,1,5,Aland Islands,248,19.80945969,60.1544901
ALB,Albania,EUR,ALB,1,6,Albania,8,20.06660928,41.13897007
AND,Andorra,EUR,AND,1,7,Andorra,20,1.576257417,42.54548611
ANT,Netherlands Antilles,AME,NLD,2,8,Netherlands Antilles,530,-68.30676179,12.22720635
ARE,United Arab Emirates,ASI,ARE,1,9,United Arab Emirates,784,53.98279159,23.43322219
ARG,Argentina,AME,ARG,1,10,Argentina,32,-65.14563274,-35.19446255
ARM,Armenia,ASI,ARM,1,11,Armenia,51,44.93839317,40.29499741
ASM,American Samoa,OCE,USA,5,12,American Samoa,16,-170.7187269,-14.30587306
ATA,Antarctica,--,ATA,4,13,Antarctica,10,21.47585697,-80.40897662
ATF,French Southern Territories,AFR,FRA,2,14,French Southern Territories,260,69.64849091,-49.6068576
ATG,Antigua & Barbuda,AME,ATG,1,15,Antigua and Barbuda,28,-61.7999755,17.07761471
AUS,Ashmore and Cartier Islands,OCE,AUS,2,16,Australia,36,122.9682522,-12.27393375
AUS,Australia,OCE,AUS,1,17,Australia,36,134.3499412,-25.57717202
AUT,Austria,EUR,AUT,1,18,Austria,40,14.14172472,47.58704857
AZE,Azerbaijan,ASI,AZE,1,19,Azerbaijan,31,50.01064725,40.39229544
BDI,Burundi,AFR,BDI,1,20,Burundi,108,29.89080992,-3.366387428
BEL,Belgium,EUR,BEL,1,21,Belgium,56,4.660976456,50.64104975
BEN,Benin,AFR,BEN,1,22,Benin,204,2.339933594,9.65401646
BFA,Burkina Faso,AFR,BFA,1,23,Burkina Faso,854,-1.742843829,12.27491081
BGD,Bangladesh,ASI,BGD,1,24,Bangladesh,50,89.17660788,22.86961622
BGR,Bulgaria,EUR,BGR,1,25,Bulgaria,100,25.23763153,42.75731323
BHR,Bahrain,ASI,BHR,1,26,Bahrain,48,50.5490754,26.04407747
BHS,Bahamas,AME,BHS,1,27,Bahamas,44,-78.05111663,24.69546597
BIH,Bosnia & Herzegovina,EUR,BIH,1,28,Bosnia and Herzegovina,70,17.78584332,44.16845548
BLM,Saint Barthélemy,AME,FRA,2,29,Saint Barthélemy,652,-62.83173536,17.89513362
BLR,Belarus,EUR,BLR,1,30,Belarus,112,28.04940161,53.54193075
BLZ,Belize,AME,BLZ,1,31,Belize,84,-88.70199554,17.19965901
BMU,Bermuda,AME,GBR,5,32,Bermuda,60,-64.78155012,32.27881922
BOL,Bolivia (Plurinational State of),AME,BOL,1,33,Bolivia,68,-64.66224284,-16.71273412
BRA,Brazil,AME,BRA,1,34,Brazil,76,-53.08432878,-10.77668561
BRB,Barbados,AME,BRB,1,35,Barbados,52,-59.5346489,13.13648273
BRN,Brunei Darussalam,ASI,BRN,1,36,Brunei Darussalam,96,114.6288563,4.49736984
BTN,Bhutan,ASI,BTN,1,37,Bhutan,64,90.45098484,27.39598568
BVT,Bouvet Island,AFR,NOR,2,38,Bouvet Island,74,3.410732868,-54.43295905
BWA,Botswana,AFR,BWA,1,39,Botswana,72,23.81380223,-22.18810073
CAF,Central African Republic,AFR,CAF,1,40,Central African Republic,140,20.93559492,7.003720791
CAN,Canada,AME,CAN,1,41,Canada,124,-101.6575058,57.72360191
CCK,Cocos (Keeling) Islands,OCE,AUS,2,42,Cocos (Keeling) Islands,166,96.82633757,-12.18600682
